team,tpp
ATL,107.06319702602231
LAL,106.66666666666667
SAC,106.2730627306273
GSW,106.2730627306273
NOP,106.2730627306273
MIL,104.72727272727273
OKC,104.72727272727273
PHI,104.72727272727273
WAS,104.34782608695652
TOR,102.49110320284697
LAC,102.49110320284697
MIA,102.49110320284697
MIN,102.12765957446808
BOS,102.12765957446808
CHI,101.76678445229683
UTA,101.76678445229683
DAL,101.40845070422536
CHA,101.05263157894737
IND,100.6993006993007
ORL,100.34843205574913
POR,100.34843205574913
HOU,100.34843205574913
DET,100.34843205574913
DEN,100.00000000000001
CLE,99.3103448275862
NYK,99.3103448275862
PHX,98.96907216494844
BKN,98.29351535836179
SAS,97.9591836734694
MEM,95.68106312292359
